review_id,rating,review_text
5746db26-5edc-4261-ae49-7488ace3d926,5,sangat baik
90571314-f10b-4130-a9aa-a42bc9cce8a6,1,setelah update terbaru.. data anak dan suami tidak muncul. jadi susah saat pendaftaran. Admin minta tolong diperbaiki lagi.. yang sebelumnya bisa muncul semua nama anak dan suami yg terdaftar sesuai dengan KK. Sekarang hanya nama saya seorang.
8ede6f83-e1f6-4ce1-9dd0-41e577342101,5,Sangat membantu sekali
a4430ece-213d-4ada-a03b-bb86ff9abcb4,5,kameranya susah ngepasnya
a3522b88-862a-4524-8b79-8ffa50d9c493,1,"prosesnya sangat ribet dan lemot, nunggu kode otp malah bikin emosi sendiri"
a8353dc4-5a70-4132-af83-aa5f9cd39f2e,5,lebih mudah
48ba92a4-ec42-4178-b33c-85da627dc1db,1,aplikasi ny aneh setiap mau daftar gk bisa trs pdhl udh coba d hri yg beda tapi tetep gk bisa
804e3819-c9bb-4d72-8403-80e8873886d8,5,tidak bisa di buka
7e98ee46-e07a-4f3c-986c-8943153b22f6,1,SEMRAWUT MARAI MUMET
1f32ece0-9132-4493-84bd-28139f1fd714,5,"Familiar, mudah penggunaannya.... kembangkan lagi.."
9fc3335b-594d-446f-9a6a-8e445191fc9e,1,yang jelas ini sangatlah ribet dan TDK bisa membantu org miskin
c683db49-741c-466e-99e3-b01701bf4bbb,1,"uda masukin nik dan pasword beberapa x tetep salah padahal nik Uda bener, ga ngerti lagi"
f696d980-97b9-47cd-8375-36b01acc9e1c,5,baik
95e25970-83ce-43bd-8590-9073d20f2976,5,terpercaya
d715c6ad-7bc2-4adf-aafe-8c9c97cbbc17,5,sangat puas
48960f07-dfd9-4c5e-8364-aa6dd5701b70,1,"ngk bisa login,, captcha nya muter2 terus.... masih sama,, sudah 3 hari ngk bisa login... menyusahkan"
bf6a44a1-5596-47bf-b78b-f2dcf70d8562,1,"aplikasi ga jelass sering banget log out sendiri, giliran mau log in susah ga bisa2"
d2fcf707-8d6c-46a5-9459-c379316b81b2,4,yahuy
0adc0c1d-8984-4c6c-be17-c9ba2f54de53,5,sangat puas
64f6a784-75d1-46d4-9b65-e756a7df8510,5,sangant membantun🙏
aac061c5-e76c-4b7d-a523-24a1a2e5072f,5,mudah
584e6b01-580c-4a42-81e5-679bb83400f7,5,sangat bagus
5bc8c251-ef2c-4ab4-bf84-dc05dd3a441a,5,ok
0634493b-ec70-4dff-8f34-e36125f1fb5d,5,Sangat membantu. Terimakasih
ff2e3dc1-8e30-4221-88d6-9011fa5377db,4,"Perbaiki yang kurang, pertahankan dan tingkatkan yang sudah bagus."
559650d0-6f3f-44d3-808a-f1a29475803f,2,suka logout sendiri gliran mau msuk slalu gagal pdahal no hp dan sebagainya itu udah bner payah
f6bacf7e-6b85-437e-ac92-26c0b1d5bcc5,1,ih aplikasi macam apa si ini membingungkan sekali masukin Sadi salah ini itu salah giliran bisa suruh masukin kode nanti dikirim ke SMS nomor hp udah nunggu 250 menit gak ada juga itu Kodo suruh ngulang lagi Ampe 10 kali ngulang ttp gak bisa sebenarnya ini niat ngebantu enggak si aneh betull
9e390280-6619-4969-b1af-7b765108d02f,5,semoga lancar selalu program JKN ini Aamiin
fcb0304e-78a2-4f44-b2d3-e6e38db7919c,5,mempermudah perubahan data
